,Scope,Type,Variable Name,Memloc,Length,Line Numbers,Scope Memloc
0,global,void,main,24,0,34 ,24
1,global,void,sort,17,0,21 42 ,17
2,global,int,vet,0,10,4 39 42 45 ,0
3,global,int,minloc,10,0,6 26 ,10
4,minloc,int,low,12,0,6 8 9 10 ,3
5,minloc,int,a,11,-1,6 9 12 13 ,2
6,minloc,int,i,14,0,7 10 11 12 13 14 16 16 ,5
7,minloc,int,k,16,0,7 8 14 18 ,7
8,minloc,int,x,15,0,7 9 12 13 ,6
9,minloc,int,high,13,0,6 11 ,4
10,sort,int,low,19,0,21 23 ,3
11,sort,int,a,18,-1,21 26 27 28 28 29 ,2
12,sort,int,i,21,0,22 23 24 26 28 29 30 30 ,5
13,sort,int,k,22,0,22 26 27 28 ,6
14,sort,int,t,23,0,25 27 29 ,7
15,sort,int,high,20,0,21 24 26 ,4
16,main,int,i,25,0,36 37 38 39 40 40 43 44 45 46 46 ,0
